Sr. No.,Brand_Name,Product,Price,Return/Exchange,Excepted Delivery,Availability,URL
179,-,"Kadence AstroMan Electric Guitar, 21 FRETS, ROSEWOOD FRETBOARD, H - S - S PICK UPS Black combo with Bag, Guitar strap,guitar cable and Picks",-,-,"Wednesday, 30 November",In stock.,https://www.amazon.in/Kadence-Electric-Guitar-Rosewood-Fretboard/dp/B07BGW6JVL/ref=sr_1_146?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-146
180,-,-,-,-,-,-,https://www.amazon.in/Fender-310001580-Bullet-Electric-Guitar/dp/B001L8MB3O/ref=sr_1_147?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-147
181,-,"Yamaha Acoustic Guitar F310 Dreadnought With Mexa Blue Guitar Bag, Head Cover, Belt, Plectrums & String Set.",-,-,"Wednesday, 30 November",-,https://www.amazon.in/Yamaha-Acoustic-Guitar-Dreadnought-Plectrums/dp/B094H8NGBM/ref=sr_1_148?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-148
182,-,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sr_1_149?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-149
183,-,-,-,-,-,In stock.,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_150?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-150
184,-,"Cort AF550SE Guitar Electro Acoustic- OP With Sponge Bag, Belt, String Set & Plectrums Combo Pack (Nat)",-,-,"Wednesday, 30 November",In stock.,https://www.amazon.in/Cort-AF550SE-Electro-Acoustic-Plectrums/dp/B09C2CT9BF/ref=sr_1_151?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-151
185,-,-,-,-,-,In stock.,https://www.amazon.in/Epiphone-Classic-String-Electric-ELCSWGNH/dp/B085NGLLD2/ref=sr_1_152?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-152
186,-,"DEVICE OF URBAN INFOTECH Guitar Tuner Clip on Chromatic Digital Tuner with Guitar Capo Metal Alloy Spring Guitar Capotastos for Acoustic Guitar, Electric Guitar Violin, Ukulele, Bass with 5 Picks",-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQzNTQ3ODg4Mzk4NTY6MTY2OTI5NzY0MTpzcF9idGY6MjAwODI3ODA4MTUyOTg6OjA6Og&url=%2FDEVICE-URBAN-INFOTECH-Chromatic-Capotastos%2Fdp%2FB0BGBGDW1W%2Fref%3Dsr_1_153_sspa%3Fkeywords%3DGuitar%26qid%3D1669297641%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-153-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
187,-,-,-,-,-,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQzNTQ3ODg4Mzk4NTY6MTY2OTI5NzY0MTpzcF9idGY6MjAwNzc4Njg1ODc3OTg6OjA6Og&url=%2FRight-Search-%25C2%25AEMusical-Guitar-Set_GD2%2Fdp%2FB09PYFV844%2Fref%3Dsr_1_154_sspa%3Fkeywords%3DGuitar%26qid%3D1669297641%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-154-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
188,-,Gibz's G-38 Glossy Acoustic Guitar With Truss Rod Natural,-,-,"Monday, 28 November",-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQzNTQ3ODg4Mzk4NTY6MTY2OTI5NzY0MTpzcF9idGY6MjAwMjU4OTAzMDM5OTg6OjA6Og&url=%2FGibzs-38-C-Acoustic-Guitar-Natural%2Fdp%2FB07M8KBTX8%2Fref%3Dsr_1_155_sspa%3Fkeywords%3DGuitar%26qid%3D1669297641%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-155-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
189,-,"Blueberry B-40, 40 Inch Acoustic Guitar Kit Inbuilt Truss Rod, with Bag,Belt, One Pack Strings And Picks (Sunburst)",-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQzNTQ3ODg4Mzk4NTY6MTY2OTI5NzY0MTpzcF9idGY6MjAwNzgzMzY4ODkyOTg6OjA6Og&url=%2FBlueberry-B-40Y-Acoustic-Inbuilt-Sunburst%2Fdp%2FB07PJKSS7N%2Fref%3Dsr_1_156_sspa%3Fkeywords%3DGuitar%26qid%3D1669297641%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-156-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
