,comment,upvote,time
168,"ਏ ਤਾਂ ਏਦਾਂ ਹੀ ਚੱਲੋ  ।।। ਜਿਹੜੇ ਸੜਦੇ ਨੇ ਬਸ ਸੜਦੇ ਰਹੋ 
ਕਿਉਂ ਰੀਸ ਤਾਂ ਹੋਣੀ ਨੀ।।।।",14,2 months ago
169,LEGEND OF PUNJAB MUSIC INDUSTRY BABBU MAAN ️️️,1,5 months ago
170,Maan Saab Jinda baad,,9 days ago
171,"ਕਿਥੋਂ ਅੱਖਰ ਲੈ ਕੇ ਆਉਂਦਾ ਵੇ
ਸ਼ਬਦਾਂ ਦਾ ਤੇਰੇ ਕੋਲ ਖਜਾਨਾ ਵੇ
ਦਿਲ ਕਰਦਾ ਜਿੰਦਗੀ ਵਿੱਚ ਲਿਖਦਾ
ਕੁਝ ਤੇਰੇ ਲਈ ਮੈ ਮਾਨਾ ਵੇ",37,1 year ago
172,Greatest singer songwriter producer of the entire world,5,1 year ago
173,Beautiful song Maan shab ,,11 months ago (edited)
174,ਥੱਪੜ੍ਹ ਮਾਰ ਕੇ ਅੜ੍ਹਬ ਪੰਜਾਬੀ ਚੀਨੇ ਚੁੱਕ ਲਿਆਏ ,1,2 months ago
175,I love this song end luck end singer legend babbu Maan zindabaad ️️️️,8,9 months ago
176,Satnam wehegur ji  ,,3 months ago
177,"ਸੰਨ 98 ਤੋਂ ਚੱਲੇ ਸੀ, ਹੁਣ ਤੱਕ ਕੈਮ ਅਾ
ਜਿਹੜੇ ਸਾਨੂੰ ਦੱਬਣ ਨੂੰ ਫਿਰਦੇ ਆ 
ਹਰ ਵਾਰ ਦੀ ਤਰ੍ਹਾ ਜਵਾਕਾ ਦੇ ਕੱਢੇ ਵਹਿਮ ਆ
ਲਵ ਯੂ ਜੱਟਾਂਂ️",33,1 year ago
178,Godfather of punjabi industry,,1 year ago
179,100% siraa song maan saab de dilo pyaar maan g,,1 year ago
180, ਮੇਰੀ ਜਾਨ BABBU MAAN,,4 months ago
181,Legend always legend ️,15,1 year ago
182,Maan Saab The King Of Punjabi Music Industry,,1 month ago
183,"""बंदा सिंह बहादर मितरो अपना हीरो ऐ"" best line",63,5 months ago (edited)
184,Speechless. . .,2,1 year ago
185,ਅੱਜ ਕੱਲ ਦੇ ਜਵਾਕਾਂ ਵਿੱਚ ਓ ਗੱਲ ਕਿੱਥੇ.... ਮਾਨਾ ਜੋ ਤੂ ਗਾ ਦਿੱਤਾ ਸਾਨੇੰ ਓਹੀ ਪਰਵਾਨ,124,1 year ago
186,Babbumaan jindabaad ,,1 month ago
187,Babbumaan jindabaad ️,,1 month ago
188,"ਵਿਸਾਖੀ ਤੇ ਖਾਲਸਾ ਪੰਥ ਸਾਜਨਾ ਦਿਵਸ ਦੀਆਂ
ਆਪ ਸੱਭ ਨੂੰ ਲੱਖ ਲੱਖ ਵਧਾਈਆਂ।

 ਬੱਬੂ ਮਾਨ",67,1 year ago
189,Legend ,,1 month ago
